Date,Type,Link
2025-10-02 21:08:05,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7379556008798617600
2025-10-01 17:24:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7378950354874327040
2025-09-23 16:24:00,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7375920700848664576
2025-09-23 16:23:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7376081290875367424
2025-09-17 13:04:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7373865459965882368
2025-09-16 02:00:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7373342667755118592
2025-09-16 01:53:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7372413394991370240
2025-09-15 19:45:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7372296934352384000
2025-09-10 18:49:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7371567355660918784
2025-09-04 11:58:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7369115185141198849
2025-09-03 19:12:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7369053726403153924
2025-09-03 15:53:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7369001874206793728
2025-08-30 16:14:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7367269807248814081
2025-08-29 16:09:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7367208515456684032
2025-08-28 19:49:24,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7366889375072264195
2025-08-22 16:46:48,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7364536624522711040
2025-08-21 18:42:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7364351525629878274
2025-08-21 12:18:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7364225896532090881
2025-08-21 11:58:19,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7358486757824155648
2025-08-20 13:10:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7358914507965886464
2025-08-20 13:09:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7363902995169726464
2025-08-20 13:08:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7358161576794738692?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7358161576794738692%2C7363746650797850624%29
2025-08-18 13:18:28,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7363196156748701696
2025-08-16 19:54:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7362270038071963648
2025-08-15 13:34:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7362063568546033664
2025-08-14 23:25:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7361840613295599616
